WDPA_PID,IUCN9,Realm,GIS-Area_Category,Acrop-aMER,Acrop-aPTS,Rcrop-aMER,Rcrop-aPTS
126438_A,Ia,Australasia,40~50,1AC~1M,1AC~1P,1RC~1M,1RC~1P
125996_A,Ia,Australasia,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313661_A,IV,Australasia,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
301948_A,Ia,Nearctic,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
314988_B,Ia,Australasia,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
565_A,II,Australasia,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555671282,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555672140,III,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
18167_A,VI,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
357649_B,VI,Australasia,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
126651_A,Ia,Australasia,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313781_C,Ia,Australasia,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313753_A,Ia,Australasia,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
64122_A,II,Australasia,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555621563_B,III,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313781_A,Ia,Australasia,10~20,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555575311_A,V,Palearctic,20~30,2AC~1M,2AC~1P,1RC~1M,1RC~1P
23282_A,III,Nearctic,30~40,1AC~1M,1AC~1P,1RC~1M,1RC~1P
23282_B,IV,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313771_A,Ia,Australasia,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555575482_A,V,Palearctic,100~1000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
566_A,II,Australasia,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555613377,V,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555515564_B,III,Nearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
301948_B,VI,Nearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
5555731,IV,Nearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
63879_A,Ia,Australasia,100~1000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
63712_A,Ia,Australasia,40~50,1AC~1M,1AC~1P,1RC~1M,1RC~1P
23291_D,III,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
63856_B,Ia,Australasia,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555662998,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
18186_B,IV,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
67117_A,IV,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555575460_B,V,Palearctic,50~100,2AC~1M,2AC~1P,1RC~1M,1RC~1P
55551508,V,0,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555575460_A,V,Palearctic,50~100,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555575241_B,V,Palearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
313753_B,Ia,Australasia,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
23291_B,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555515586_A,IV,Nearctic,10~20,2AC~1M,2AC~1P,2RC~1M,2RC~1P
55559242,V,Nearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555575241_A,V,Palearctic,40~50,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555621565_B,II,Nearctic,40~50,2AC~1M,2AC~1P,2RC~1M,2RC~1P
313781_E,Ia,Australasia,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
71022_A,Ia,Neotropic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
20063_B,VI,Neotropic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555556240,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
565_C,II,Australasia,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
67130_B,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555603859,V,Nearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555637706_B,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
18162_B,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
313760_A,Ia,Australasia,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
16894_B,No Category,Neotropic,1000~10000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
23285_A,II,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555515584_A,IV,Nearctic,10~20,2AC~1M,2AC~1P,2RC~1M,2RC~1P
93538_A,Ib,Palearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
25919_A,II,Australasia,10~20,1AC~1M,1AC~1P,2RC~1M,2RC~1P
629_A,II,Nearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
23291_C,IV,Nearctic,10~20,3AC~1M,3AC~1P,2RC~1M,2RC~1P
95323,No Category,Nearctic,50~100,3AC~1M,3AC~1P,2RC~1M,2RC~1P
63562_B,Ia,Australasia,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
632_A,II,Nearctic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555604066,V,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555637706_C,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555575482_B,V,Palearctic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555705344_A,VI,Afrotropic,>10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
93538_B,Ib,Palearctic,1000~10000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
570_A,II,Australasia,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555637931_C,III,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555637856_Y,VI,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555581655,V,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
23290_A,IV,Nearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
167051_B,VI,Neotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555515560_C,III,Nearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
103166_B,VI,Nearctic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555637856_E,VI,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
18133_A,II,0,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
166969_B,VI,Neotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
67584,II,Nearctic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555557371,IV,Nearctic,50~100,3AC~1M,3AC~1P,3RC~1M,3RC~1P
101414_A,Ia,Neotropic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
761_A,II,Afrotropic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
71022_B,VI,Neotropic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555613816,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555609609,V,Nearctic,10~20,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555654083,V,Nearctic,10~20,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555672695,V,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
4168_B,III,Nearctic,50~100,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555656061,V,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555564962,III,Australasia,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
23282_C,IV,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
67130_A,IV,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
308903_B,IV,Australasia,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
801_A,II,Afrotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
4170_B,II,Nearctic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555670131,V,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
313660_A,IV,Australasia,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555705202_A,II,Afrotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
